"","FPKM.liver.tablemaker"
"1",5.93822
"2",11.2248
"3",0
"4",0
"5",370.77
"6",65.3492
"7",88.5102
"8",157.102
"9",3184.99
"10",3503.83
"11",301.458
"12",667.605
"13",565.315
"14",177.037
"15",842.361
"16",3.27856
"17",0
"18",0
"19",6.78006
"20",1.62889
"21",9.425
"22",2.69463
"23",0
"24",9.975
"25",2.0097
"26",16.9535
"27",0
"28",0
"29",0
"30",0
"31",5.68257
"32",7.85069
"33",10.9398
"34",2.66907
"35",3.64197
"36",0
"37",0
"38",12.0814
"39",0
"40",0
"41",0
"42",2.28972
"43",1.73309
"44",138.266
"45",4.80812
"46",0
"47",0
"48",0
"49",0
"50",0
"51",3.57047
"52",0
"53",0
"54",4.94466
"55",0
"56",0
"57",0
"58",2.79105
"59",3.43546
"60",2.38862
"61",0
"62",0
"63",0
"64",0
"65",3.65336
"66",2.3789
"67",0
"68",0
"69",7.42525
"70",0
"71",3.2167
"72",46.8868
"73",6.23272
"74",0
"75",0
"76",95.8017
"77",12980
"78",0
"79",31.346
"80",1.57862
"81",15.1993
"82",0
"83",0
"84",0
"85",0
"86",2.8375
"87",0
"88",3.94195
"89",0
"90",3.87726
"91",0
"92",0
"93",0
"94",5.61242
"95",0
"96",0.955597
"97",2.08313
"98",0.785656
"99",3.79601
"100",2.15468
"101",0
"102",90.1422
"103",11.6069
"104",14.4826
"105",0
"106",6.85381
"107",0
"108",2.58151
"109",0
"110",0
"111",0
"112",1.63933
"113",1.00799
"114",1.12123
"115",5.01789e-05
"116",9.14931
"117",0
"118",0
"119",0
"120",0
"121",5.21235
"122",10.9257
"123",4.10389
"124",0
"125",0
"126",0
"127",0
"128",5.08505
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",23.1684
"137",0
"138",0
"139",0
"140",1.31866
"141",0
"142",1.81856
"143",1.60967
"144",2.78535
"145",1.92916
"146",11.9061
"147",0
"148",0
"149",0
"150",2.39142
"151",0
"152",18.6414
"153",0
"154",0
"155",0
"156",0
"157",2.07282
"158",0
"159",7.1402
"160",0
"161",9.03211
"162",37.461
"163",125.54
"164",1.9989
"165",0
"166",0
"167",5.18264
"168",0
"169",0
"170",6.59942
"171",12.3484
"172",121.393
"173",3.66961
"174",2.88349
"175",0
"176",21.0338
"177",11.7496
"178",3.87462
"179",0
"180",0
"181",0
"182",0
"183",20.8525
"184",0
"185",0
"186",0
"187",2.02161
"188",0
"189",0
"190",0
"191",0
"192",0.109677
"193",2.26205
"194",0
"195",0
"196",0
"197",0
"198",14.8113
"199",4.66825
"200",19.3434
"201",0
"202",0
"203",0
"204",0
"205",8.40779
"206",0
"207",0
"208",3.17675
"209",0
"210",0
"211",5.65899
"212",2.50871
"213",19.4
"214",0
"215",0
"216",5.68257
"217",0
"218",0
"219",4.33428
"220",0
"221",1.95124
"222",2.64663
"223",0
"224",0
"225",22.8034
"226",18.3489
"227",3.53806
"228",0
"229",156.339
"230",3.27345
"231",0
"232",14.7712
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",19.8454
"244",34.4552
"245",0
"246",2.93845
"247",0
"248",0
"249",0
